author,headline,text,reactions,replies,code.1,code.2,code.3,sentiment,author.sme,original.order,flag
Andreas Ciroth,"Owner, GreenDelta","Yes it looks appealing if you work in LCA and carbon footprint (putting the results out to the public and end consumer), but seems also naive. Almost as if saying: if you smoke one cigarette, you will live 12 minutes and 34 seconds less (without referring a specific study, assessment methodology, etc.). And in LCA and CF, you have the specific issue of different background databases with entirely different results for similar supply chains, maybe more than in cigerette-health investigations (but I am not an expert there). So Lubomila Jordanova \This is what every product should have on its product's label\"" - I do not think so. Not like this, not for now. â¦see more""",45,14,comp - meaning,tech - uncertainty,,negative,yes,1,
Jeremy Tran ð,Sustainability Strategy & Marketing | Asia Market Entry | Founder of Sainha,I wonder if everyday consumers understand what these numbers mean.,240,53,comp - meaning,,,neutral,no,2,
Geoffrey Guest,Sustainability Research Scientist at Amazon,"I completely agree, but where's your uncertainty distribution? And what percentile should be assumed for reporting to the consumer?",3,0,tech - uncertainty,comp - comparison,,positive,yes,3,
Pernilla Bergmark,Principal Researcher ICT Sustainability Impacts @Ericsson | Passionate advocate of halving all GHG emissions by 2030 | Exponential Climate Action | Biodiversity | Planetary boundaries | SDG | Digital Inclusion |,As someone working with LCA and knowing about the many assumptions involved in numbers like these I'm not convinced that labels like this one gives any meaningful information to consumers on their own.. Are those numbers high or low? Are assumptions reasonable? Do they apply to me and my country? How could I impact them? What happens to the use (0.0) if I wash them regularly in my washing machine? Would that make them last longer to an extent that would be worth the extra emissions for doing so? Are the total numbers comparable to total numbers for similar or entirely different products? I'd be the first to welcome more LCA studies but there is a great risk that we get too focused on the existence of such numbers and less what they mean. In this case the key message to consumers would be: This product comes with an amount of embedded carbon emissions. Don't waste it. Make sure to use these shoes for long and treat them well. â¦see more,204,7,comp - comparison,tech - uncertainty,,negative,yes,4,
Nicklas Lindewald CMVPÂ®,General Manager at Metimur Energy - Energy Efficiency Certificate expert,Would be better to have a global Carbon price on all fossil fuels (and possibly other Carbon emissions such as natural methane). Everyone understands and makes decisions from the sticker price..,5,5,wrong solution,,,negative,no,5,
Erik Hooft,Pushing the transition to sustainable energy solutions,"Great product label indeed!I share a simple calculation on CO2-emissions for owning and walking these shoes compared to driving a fossil fuelled car.Imperial units:The average passenger vehicle emits about 404 grams of CO2 per mile(1). This makes an environmental return of invest after walking 7,3 miles!(2940 grams/404 grams per mile)Metric units:EU fleet-wide CO2 emission targets for the period 2020-2024 for cars: 95 g CO2/km(2).This makes an environmental return of invest after walking 31 km!(2940 grams/95 grams per kilometer)Without taking into account the air pollution (particles & other gases) and how great you will feel walking!Sources: (1) https://www.epa.gov/greenvehicles/greenhouse-gas-emissions-typical-passenger-vehicle(2) https://ec.europa.eu/clima/eu-action/transport-emissions/road-transport-reducing-co2-emissions-vehicles/co2-emission-performance-standards-cars-and-vans_enPs. Surprising that the packaging stands for 11% of the total CO2-footprint. Any improvements possible here? â¦see more",6,4,other - info,,,positive,yes,6,
Ben Campbell,"Brand, Strategy & Ideas @ Twitter Australia | Ex-LEGO","I bought this shoe. Itâs beautiful, and this method of manufacturing is undoubtedly the future. And Iâm here for it. But I will say, the shoes were relatively poor quality. The mesh was dirty within days, and just from crossing paths your average sidewalk scuff, the fabric was uncleanable. Within a fortnight the shoes - black and filthy - ended up in a waste paper bin during my travels in Bangkok.So yes, letâs make fashion with a lower carbon footprint. But letâs also make it to last. Because if I had to buy six of them a year, I might have just bought a single good pair of shoes instead. â¦see more",136,23,tech - use,other - allbirds,,neutral,no,7,1
Richard Hill,"Green Cloud Computing - Serverless compute powered by decentralised, renewable energy.",This is super interesting. I've been thinking about this a lot lately and how if we are to tackle this then could we apply a carbon limit to peoples lives? So those who travel extensively by Air would have to consider if their travel was utterly necessary. Could the rearrnage their lives to use less intensive travel and stay with in their budget? Or how about the food that you eat. When I see sushi trays which are expensive and the distance that the food has travelled - there should be carbon detailing on the food like this also. Its a little like we have in the UK with the HMRC and how much we can earn before being taxed - and then taxed at even higher amounts.Something similar could happen with your carbon absorption through living your life. â¦see more,18,13,other - idea,,,positive,no,8,
Karl Eastwood,VP Operations,"Needs a QR code linking to the tracking of that specific pair, both for its carbon footprint but also it's manufacturing provenance. This would enable the customer to ensure their trainers were made in a registered factory not using child labour, paying a fair wage, using materials that conform to the same standards. Then how it was packed and shipped, third party seller verification etc. Overall giving a holistic view of this specific items social and environmental impact. All the information should already exist it just needs logging, verification and making available to a consumer (and/or regulators, customs etc). â¦see more",34,13,comp - more info,carbon isn't everything,,neutral,no,9,idea
Emil Parthenides,Principal Advisor specialising in âoff-marketâ strategic business exits $5M to $100M,Seems like a marketing gimmick.,14,3,dismissive,,,negative,no,10,
